ensembl_id,gene_symbol
ENSGALG00000000839,WNT11
ENSGALG00000000840,KDM1A
ENSGALG00000000842,NDUFA2
ENSGALG00000000843,DOT1L
ENSGALG00000000844,SLC26A8
ENSGALG00000000845,UVRAG
ENSGALG00000000846,TMCO6
ENSGALG00000000847,GARNL3
ENSGALG00000000848,AP1G1
ENSGALG00000000850,
ENSGALG00000000852,TMEM173
ENSGALG00000000853,SLC2A8
ENSGALG00000000855,ZMPSTE24
ENSGALG00000000856,EIF2D
ENSGALG00000000857,NMT1
ENSGALG00000000860,SLC7A6
ENSGALG00000000862,RLF
ENSGALG00000000863,DYRK3
ENSGALG00000000864,FBXW2
ENSGALG00000000865,
ENSGALG00000000866,SELENBP1
ENSGALG00000000868,RNF121
ENSGALG00000000869,ZDHHC18
ENSGALG00000000870,DCAKD
ENSGALG00000000871,MADPRT
ENSGALG00000000874,NDRG4
ENSGALG00000000875,PHLPP2
ENSGALG00000000878,KIF18B
ENSGALG00000000880,GINS3
ENSGALG00000000881,GPATCH3
ENSGALG00000000882,
ENSGALG00000000883,MAPKAPK2
ENSGALG00000000884,CXXC5
ENSGALG00000000886,CCDC113
ENSGALG00000000887,NR0B2
ENSGALG00000000889,CSNK2A2
ENSGALG00000000890,SRPK1
ENSGALG00000000891,NSUN5
ENSGALG00000000892,IL10
ENSGALG00000000893,TAT
ENSGALG00000000894,APCDD1
ENSGALG00000000895,NUDC
ENSGALG00000000897,LHFPL5
ENSGALG00000000898,C11H16ORF80
ENSGALG00000000899,PSD2
ENSGALG00000000900,CLPS
ENSGALG00000000901,CHST4
ENSGALG00000000902,KDF1
ENSGALG00000000903,TERF2IP
ENSGALG00000000904,USB1
ENSGALG00000000905,PSMB4
ENSGALG00000000906,RALGPS1
ENSGALG00000000907,KARS
ENSGALG00000000908,ADAT1
ENSGALG00000000909,GFAP
ENSGALG00000000911,IL24
ENSGALG00000000912,KCNAB2
ENSGALG00000000913,
ENSGALG00000000914,FAM187B
ENSGALG00000000915,
ENSGALG00000000917,NRG2
ENSGALG00000000918,
ENSGALG00000000919,PIGR
ENSGALG00000000920,CGN
ENSGALG00000000921,NHE1
ENSGALG00000000927,ANGPTL2
ENSGALG00000000930,HIP1
ENSGALG00000000934,ZBTB43
ENSGALG00000000935,TUFT1
ENSGALG00000000936,LMX1B
ENSGALG00000000939,CDON
ENSGALG00000000940,ALC
ENSGALG00000000943,WDTC1
ENSGALG00000000944,SUPT4H1
ENSGALG00000000946,PFDN1
